Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-22,2016,7,22,Friday,29,2016-29,167.68,167.7,166.96,167.47,1335100,146.82,0.002513970729661974,144.7592857142857,136.0772
2016-07-25,2016,7,25,Monday,30,2016-30,167.17,168.2,166.4,167.97,1732200,147.25,0.002985856752459659,145.5557142857143,136.44979999999998
2016-07-26,2016,7,26,Tuesday,30,2016-30,167.6,168.82,166.7,167.57,1593900,146.9,-0.0023813463927954137,146.2792857142857,136.8542
2016-07-27,2016,7,27,Wednesday,30,2016-30,167.16,167.5,165.75,166.15,1440000,145.66,-0.008474317477061954,146.43285714285713,137.21120000000002
2016-07-28,2016,7,28,Thursday,30,2016-30,166.26,166.86,165.8,166.35,1866500,145.83,0.0012036636630596842,146.4892857142857,137.61
2016-07-29,2016,7,29,Friday,30,2016-30,166.64,167.68,166.38,167.22,1359700,146.6,0.005230217677585358,146.5207142857143,138.0648
2016-08-01,2016,8,1,Monday,31,2016-31,167.15,168.0,166.9,167.56,986800,146.89,0.0020330303945954586,146.60071428571428,138.5006
2016-08-02,2016,8,2,Tuesday,31,2016-31,167.07,167.54,164.59,166.5,2107300,145.97,-0.006326046952980002,146.58357142857145,138.91819999999998
2016-08-03,2016,8,3,Wednesday,31,2016-31,165.92,166.33,165.1,166.12,1837100,145.63,-0.002282048909859058,146.53214285714284,139.3408
2016-08-04,2016,8,4,Thursday,31,2016-31,166.04,167.74,165.89,166.55,1638300,146.01,0.0025883959101584697,146.54071428571427,139.7612
2016-08-05,2016,8,5,Friday,31,2016-31,166.86,168.33,166.08,167.7,1526500,147.02,0.006904703903995113,146.55285714285714,140.1674
2016-08-08,2016,8,8,Monday,32,2016-32,167.25,167.55,166.47,167.4,1294400,146.75,-0.0017888077614433007,146.50714285714284,140.4774
2016-08-09,2016,8,9,Tuesday,32,2016-32,167.74,168.6,166.88,167.86,1286700,147.16,0.0027479617213059804,146.49571428571429,140.8068
2016-08-10,2016,8,10,Wednesday,32,2016-32,167.44,168.5,167.05,168.29,1104300,147.93,0.0052562690381883215,146.60142857142858,141.157
2016-08-11,2016,8,11,Thursday,32,2016-32,169.11,169.59,167.33,167.88,1497800,147.57,-0.002436152595284402,146.655,141.4342
2016-08-12,2016,8,12,Friday,32,2016-32,167.16,169.41,167.16,169.04,1399100,148.59,0.0069100172605671695,146.75071428571428,141.7496
2016-08-15,2016,8,15,Monday,33,2016-33,169.04,169.27,168.59,168.73,918600,148.32,-0.0018343592963856459,146.85214285714287,142.05599999999998
2016-08-16,2016,8,16,Tuesday,33,2016-33,167.88,168.8,167.88,168.41,1023000,148.04,-0.0018962685936069201,147.02214285714285,142.3476
2016-08-17,2016,8,17,Wednesday,33,2016-33,167.45,168.36,166.92,167.96,1382500,147.64,-0.002672209332169273,147.15142857142857,142.6244
2016-08-18,2016,8,18,Thursday,33,2016-33,168.42,168.71,167.2,167.75,1353400,147.46,-0.001250131126311671,147.21285714285713,142.8846
2016-08-19,2016,8,19,Friday,33,2016-33,167.21,168.33,167.1,168.02,1764800,147.69,0.00160963375373524,147.27,143.13739999999999
2016-08-22,2016,8,22,Monday,34,2016-34,168.34,168.69,167.62,167.94,955000,147.62,-0.0004762768662511796,147.38785714285714,143.37439999999998
2016-08-23,2016,8,23,Tuesday,34,2016-34,168.09,168.45,167.31,167.36,1003700,147.11,-0.003453567339084862,147.4935714285714,143.5998
2016-08-24,2016,8,24,Wednesday,34,2016-34,167.14,167.88,166.76,167.57,1363800,147.3,0.0012547164664395982,147.58571428571426,143.8128
2016-08-25,2016,8,25,Thursday,34,2016-34,167.2,167.41,164.64,164.86,1817700,144.92,-0.016172157990427927,147.43571428571428,143.996
2016-08-26,2016,8,26,Friday,34,2016-34,165.39,165.65,163.47,163.93,2009900,144.1,-0.005641239253152852,147.24642857142857,144.1354
2016-08-29,2016,8,29,Monday,35,2016-35,164.47,164.84,163.4,163.98,1819200,144.14,0.00030486164851040165,147.0307142857143,144.285
2016-08-30,2016,8,30,Tuesday,35,2016-35,164.07,164.28,161.74,161.96,2010700,142.37,-0.012318098107586217,146.63357142857143,144.3888
2016-08-31,2016,8,31,Wednesday,35,2016-35,161.87,162.57,161.15,162.09,1933200,142.48,0.0008023456015255892,146.27,144.4822
2016-09-01,2016,9,1,Thursday,35,2016-35,159.0,159.0,155.54,156.21,6038500,137.31,-0.03627622855049939,145.46428571428572,144.45600000000002
2016-09-02,2016,9,2,Friday,35,2016-35,156.81,159.28,156.8,157.98,2679000,138.87,0.011330834360125941,144.7892857142857,144.4802
2016-09-06,2016,9,6,Tuesday,36,2016-36,158.13,158.15,156.02,158.06,2716900,138.94,0.0005064355998845027,144.1392857142857,144.53159999999997
2016-09-07,2016,9,7,Wednesday,36,2016-36,157.64,157.87,155.4,155.64,2984100,136.81,-0.015310686872835766,143.3657142857143,144.5632
2016-09-08,2016,9,8,Thursday,36,2016-36,155.19,155.49,152.94,153.47,2993100,134.9,-0.013942245974513434,142.46857142857144,144.533
2016-09-09,2016,9,9,Friday,36,2016-36,152.59,152.79,150.7,150.7,2993900,132.47,-0.018049209528458787,141.3814285714286,144.4282
2016-09-12,2016,9,12,Monday,37,2016-37,150.5,151.99,150.26,151.69,2982400,133.34,0.006569157924491753,140.36142857142858,144.3416
2016-09-13,2016,9,13,Tuesday,37,2016-37,151.18,151.58,150.07,150.74,2148600,132.5,-0.006262396280921179,139.31785714285715,144.2544
2016-09-14,2016,9,14,Wednesday,37,2016-37,150.71,152.25,150.2,150.69,2188900,132.46,-0.00033199812431994324,138.25785714285715,144.1816
2016-09-15,2016,9,15,Thursday,37,2016-37,150.72,152.97,150.11,152.67,2284300,134.2,0.013139649905004047,137.49214285714285,144.13019999999997
2016-09-16,2016,9,16,Friday,37,2016-37,151.96,152.66,151.14,152.35,2842000,133.92,-0.0020960856581009324,136.765,143.9384
2016-09-19,2016,9,19,Monday,38,2016-38,152.13,153.03,151.6,151.79,1321300,133.43,-0.0036757123829121996,136.0,143.7062
2016-09-20,2016,9,20,Tuesday,38,2016-38,152.43,152.71,151.67,152.17,1396700,133.76,0.00250346798532064,135.38500000000002,143.4582
2016-09-21,2016,9,21,Wednesday,38,2016-38,152.59,152.9,151.25,152.7,1535100,134.23,0.00348282446557846,134.7957142857143,143.2274
2016-09-22,2016,9,22,Thursday,38,2016-38,153.03,154.28,152.68,153.15,2502200,134.62,0.0029473579386432025,134.60357142857143,142.9956
2016-09-23,2016,9,23,Friday,38,2016-38,153.15,153.77,152.17,152.53,2282100,134.08,-0.004048571064895756,134.26142857142858,142.75019999999998
2016-09-26,2016,9,26,Monday,39,2016-39,152.08,152.28,151.01,151.19,1862200,132.9,-0.008785464725898806,133.82999999999998,142.49040000000002
2016-09-27,2016,9,27,Tuesday,39,2016-39,151.42,151.77,150.0,150.45,2569000,132.25,-0.004893967107718833,133.50428571428571,142.1984
2016-09-28,2016,9,28,Wednesday,39,2016-39,150.6,150.67,148.94,149.41,2626300,131.33,-0.00691271037366914,133.24928571428572,141.87720000000002
2016-09-29,2016,9,29,Thursday,39,2016-39,149.19,149.69,147.2,147.49,4501300,129.65,-0.012850921296385098,133.04785714285714,141.5238
2016-09-30,2016,9,30,Friday,39,2016-39,151.79,154.85,151.6,152.51,7318100,134.06,0.034036618370621996,133.0992857142857,141.276
